SrcAddr,-1_1.0,-1_0.0,-1_3.0,-1_2.0,1_1.0,1_0.0,1_3.0,1_2.0,label
147.32.84.165,1524.0,3040.0,1.0,0.0,6821.0,20030.0,5.0,0.0,1
147.32.84.191,1548.0,2213.0,0.0,0.0,4263.0,10105.0,0.0,0.0,1
147.32.84.192,1966.0,2493.0,0.0,0.0,3688.0,8443.0,0.0,0.0,1
147.32.84.193,1677.0,2559.0,0.0,0.0,3973.0,10278.0,0.0,0.0,1
147.32.84.204,1658.0,2097.0,0.0,0.0,6037.0,12648.0,0.0,0.0,1
147.32.84.205,1425.0,2084.0,0.0,0.0,5341.0,12533.0,4.0,0.0,1
147.32.84.206,1160.0,2551.0,0.0,0.0,4453.0,13352.0,0.0,0.0,1
147.32.84.207,1293.0,1906.0,0.0,0.0,5187.0,11953.0,0.0,0.0,1
147.32.84.208,1593.0,1991.0,1.0,0.0,4434.0,9631.0,1.0,0.0,1
147.32.84.209,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,1
0.0.0.0,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
00:00:00:00:00:00,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
00:0c:29:97:a3:eb,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
00:15:17:2c:e5:2d,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
1.112.101.248,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
1.112.110.245,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
1.112.13.27,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
1.112.141.53,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
1.112.141.91,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
1.112.147.98,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,0
