SrcAddr,-1_0.0,-1_3.0,-1_5.0,-1_2.0,-1_1.0,-1_4.0,label
147.32.84.165,25.0,0.0,42.0,29.0,19964.0,0.0,1
147.32.84.191,23.0,0.0,39.0,27.0,21799.0,2.0,1
147.32.84.192,17.0,0.0,28.0,25.0,21700.0,0.0,1
147.32.84.193,26.0,0.0,35.0,28.0,20871.0,0.0,1
147.32.84.204,17.0,0.0,30.0,25.0,23298.0,0.0,1
147.32.84.205,19.0,0.0,31.0,32.0,24788.0,0.0,1
147.32.84.206,19.0,0.0,31.0,26.0,23564.0,0.0,1
147.32.84.207,17.0,0.0,37.0,30.0,22066.0,0.0,1
147.32.84.208,16.0,0.0,28.0,31.0,23205.0,0.0,1
147.32.84.209,36.0,0.0,41.0,27.0,20626.0,0.0,1
0.0.0.0,36.0,0.0,41.0,27.0,20626.0,0.0,0
00:0b:ac:c4:e7:40,36.0,0.0,41.0,27.0,20626.0,0.0,0
00:0b:ac:c5:cf:00,36.0,0.0,41.0,27.0,20626.0,0.0,0
00:0c:29:97:a3:eb,36.0,0.0,41.0,27.0,20626.0,0.0,0
00:15:17:2c:e5:2d,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.112.121.154,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.112.182.132,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.112.197.149,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.112.217.186,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.112.30.35,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.112.34.128,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.112.79.64,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.113.138.159,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.113.190.205,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.113.56.8,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.113.97.49,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.106.229,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.115.168,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.121.138,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.122.8,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.163.81,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.166.15,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.168.61,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.177.23,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.73.99,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.114.97.190,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.115.102.197,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.115.106.248,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.115.118.78,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.115.21.106,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.115.53.208,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.115.89.16,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.127.159.79,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.144.123.95,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.144.134.124,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.144.198.140,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.144.204.95,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.144.25.200,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.144.59.174,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.144.70.21,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.144.92.87,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.148.102.21,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.148.121.58,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.148.17.43,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.148.17.91,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.148.195.166,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.148.234.183,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.148.239.3,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.148.239.7,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.148.5.124,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.102.39,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.109.149,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.14.106,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.141.187,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.151.26,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.165.142,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.173.43,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.179.52,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.2.22,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.216.236,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.235.152,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.252.158,36.0,0.0,41.0,27.0,20626.0,0.0,0
1.152.29.30,36.0,0.0,41.0,27.0,20626.0,0.0,0
