SrcAddr,-1_5.0,-1_2.0,-1_0.0,-1_3.0,-1_4.0,-1_1.0,38_5.0,38_2.0,38_0.0,38_3.0,38_4.0,38_1.0,228_5.0,228_2.0,228_0.0,228_3.0,228_4.0,228_1.0,label,20_5.0,20_2.0,20_0.0,20_3.0,20_4.0,20_1.0,25_5.0,25_2.0,25_0.0,25_3.0,25_4.0,25_1.0,183_5.0,183_2.0,183_0.0,183_3.0,183_4.0,183_1.0
147.32.84.165,130.0,2.0,629.0,247.0,26.0,0.0,90.0,0.0,66.0,9.0,6.0,0.0,2.0,0.0,196.0,277.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.32.84.191,122.0,2.0,635.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,128.0,0.0,94.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.32.84.192,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
161.200.133.204,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
222.160.227.154,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
69.104.66.134,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
91.188.37.153,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
93.103.254.175,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
95.65.17.47,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
0.0.0.0,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
