id,type,symb
147.32.84.165,1,5.0
147.32.84.165,1,5.0
147.32.84.165,1,0.0
147.32.84.165,1,5.0
147.32.84.165,1,2.0
147.32.84.165,1,5.0
147.32.84.165,1,5.0
147.32.84.165,1,0.0
147.32.84.165,1,5.0
147.32.84.165,1,5.0
147.32.84.165,1,5.0
147.32.84.165,1,0.0
147.32.84.165,1,5.0
147.32.84.165,1,0.0
147.32.84.165,1,2.0
147.32.84.165,1,2.0
147.32.84.165,1,0.0
147.32.84.165,1,2.0
147.32.84.165,1,2.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
147.32.84.165,1,1.0
